NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
prol tape keju,Snack,5 besar kuning telur; sejumput garam; 1/2 sdt ekstrak vanila; 100gramgula pasir; 50 g cheddar cheese; 400gramtape singkong; 2 sendok makan kental manis; 70 g unsalted butter; 100 g tepung terigu cakra kembar,"Haluskan tape, masukkan vanili, SKM, | Kocok 4 kuning telur dengan gula sampai larut dengan wisk, kemudian campurkan dengan adonan tape, aduk sampai rata, masukkan sedikit-sedikit tepung terigu dan butter yg sudah dilelehkan, Masukkan ke loyang yg sudah dialasi kertas roti dan dioles margarin, | Masukkan ke oven panggang api atas bawah 20 menit suhu 180, keluarkan oles dengan 1 butir kuning telur dan tabur keju parut, Oven lagi 30 menit,",157.06,2.85,6.13,76.0,22.65,0.4,7.91,125.0,50.0
puding chia,Snack,"8 lengkeng; 50grammangga; 4sedangstroberi; 8gramchia seed; 3,5 g agar agar powder; 500 ml skimmed milk (250ml); 2 sdm brown sugar","Membuat puding chia seed: campur chia seed dengan air atau susu lalu aduk rata dan simpan di lemari es, Diamkan 1 jam kemudian biji chia akan mengembang, Just adjust the water/milk according to the chia seeds, | Sambil menunggu puding chia dingin, sesuaikan air/susu sesuai dengan biji chia, Tuang susu, gelatin, dan gula merah ke dalam panci, | Masak dengan api kecil sambil diaduk2 sampai mendidih, | Setelah mendidih tuang ketempat yg telah disediakan, | Tunggu hingga puding set beri puding chia seed dan buah2an yang sudah dipotong2 lalu simpan dikulkas,",75.76,6.18,0.7,0.0,13.64,2.0,10.41,46.0,208.0
Rambutan,Snack,Tidak Tersedia,Tidak Tersedia,68.0,0.9,0.1,0.0,16.5,0.9,13.8,11.0,42.0
rebung dimasak (lemak ditambahkan dalam masakan),Meal,Rebung 100 g; Minyak 10 ml; Bumbu 5 g,Tumis rebung dengan minyak dan bumbu hingga matang,63.1,3.35,3.56,0.0,6.76,2.8,3.86,348.0,686.0
rebung dimasak (lemak tidak ditambahkan dalam masakan),Meal,Rebung 100 g; Air 50 ml; Bumbu 5 g,Rebus rebung dengan bumbu hingga empuk,27.96,2.66,0.31,0.0,5.33,2.3,3.07,242.0,492.0
rebusan ayam saus tiram,Meal,100gramdada ayam; 1 sejumput lada hitam; 1 siung bawang putih; 2gramdaun bawang; 1 sejumput garam laut; 1/2 sdm minyak goreng; 1 1/2 sdm kecap manis; 1 sdm saos tiram; 10grambawang bombay,"Campurkan saus tiram, kecap asin, merica, dan sedikit air dalam mangkuk, | Potong ayam menjadi kubus dan rendam dalam saus, | Tumis bawang putih, daun bawang, dan bawang bombay dalam wajan dengan minyak, Aduk hingga harum, | Masukkan ayam yang sudah dimarinasi dengan saus dan garam, Rebus sampai daging berwarna cokelat muda,",293.86,26.67,11.39,74.11,19.01,0.18,13.41,1070.54,253.57
rebusan tahu dengan kecambah,Meal,120gramkecambah; sejumput garam; 2 siung bawang putih; 1/2utuh sedangtomat merah; 500 ml air; 157gramtahu; 7 ml minyak goreng; 7 g saos tiram,"Potong tahu dan sayuran, | Panaskan minyak dalam wajan dan tumis bawang putih sampai keemasan, | Tambahkan air dan biarkan mendidih, | Masukkan sisa bahan dan bumbui, Masak sampai empuk,",22.09,1.6,1.38,0.0,1.32,0.36,0.53,246.93,44.77
remis kukus atau rebus,Meal,Remis 100 g; Air 100 ml,"Kukus atau rebus remis hingga matang, tiriskan",170.89,23.6,4.44,56.0,7.32,0.0,0.0,1128.0,444.0
risol sayur,Snack,Kulit risol 2 lembar; Sayur 50 g; Minyak 10 ml,"Isi kulit risol dengan sayur, lipat, goreng dalam minyak hingga matang",207.93,4.64,10.03,54.0,25.15,1.6,1.12,278.0,189.0
risotto keju,Meal,Beras arborio 100 g; Keju 30 g; Kaldu 100 ml,Masak beras perlahan sambil ditambahkan kaldu dan keju hingga matang,355.88,14.02,13.12,40.0,44.25,0.6,6.97,814.0,265.0
roasted garlic soup,Meal,Bawang putih 50 g; Kaldu 200 ml,"Panggang bawang putih, rebus dengan kaldu hingga matang",239.96,3.0,6.0,5.0,43.0,0.0,9.0,1480.0,0.0
rolade sehat,Meal,100gramdada ayam; 4 besar telur; 1 sdt minyak wijen; 200gramwortel; 1/2 sdm minyak goreng; 130gramtahu; 50 ml susu uht full cream; 40 g rolled oat; 15 ml kecap asin,"Campur semua bahan dengan chopper, kecuali 3 telur dan susu, Beri penyedap rasa, campur sampai rata, | Kocok 3 telur dengan susu, dadar di teflon anti lengket, | Lalu di bentuk seperti rolade dan kukus, Sudah siap disajikan,",85.0,1.84,1.21,23.0,1.37,0.2,0.32,42.0,120.0
roti asam adonan panggang,Snack,Tepung 100 g; Ragi 2 g,"Uleni adonan, fermentasi, panggang hingga matang",298.04,9.6,3.3,0.0,56.4,3.3,0.26,661.0,122.0
roti bakar rasa coklat,Snack,Roti 2 lembar; Coklat 20 g,"Oles coklat, panggang hingga coklat meleleh",210.09,4.0,9.0,0.0,29.0,5.0,8.0,125.0,0.0
roti balok rasa cokelat,Snack,Tepung 100 g; Coklat 20 g,"Uleni adonan roti, panggang hingga matang",179.97,4.0,7.0,0.0,25.0,0.0,7.0,140.0,0.0
roti gandum hitam panggang,Snack,Roti gandum hitam 2 lembar,Panggang hingga hangat,68.12,2.26,0.86,0.0,12.74,1.5,1.02,174.0,44.0
roti gandum isi krim rasa sapi panggang,Snack,Roti gandum 2 lembar; Krim isi 20 g,"Isi roti dengan krim, sajikan",179.97,4.0,9.0,0.0,23.0,3.0,5.0,160.0,0.0
roti gandum panggang,Snack,Roti gandum 2 lembar,Panggang hingga hangat,68.475,2.555,1.13,0.0,12.62,1.55,1.5,143.0,62.0
roti goreng,Snack,Roti 2 lembar; Minyak 10 ml,"Goreng roti hingga kecokelatan, tiriskan",319.55,7.18,11.36,0.0,47.69,3.5,0.2,541.0,124.0
roti kismis panggang,Snack,Roti 2 lembar; Kismis 20 g,Panggang hingga matang,71.22,2.06,1.15,0.0,13.66,1.1,1.48,102.0,59.0
roti pandan isi kelapa gula aren,Snack,Tepung 100 g; Pandan 5 g; Kelapa 20 g; Gula aren 10 g,Panggang roti berisi kelapa dan gula aren hingga matang,159.89,4.0,2.0,0.0,30.0,2.0,8.0,100.0,0.0
roti panggang,Snack,Roti 2 lembar,Panggang hingga matang,70.27,2.16,0.96,0.0,13.06,0.6,1.14,142.0,31.0
roti panggang blueberry,Snack,Roti 2 lembar; Blueberry 20 g,"Oles blueberry, panggang hingga matang",210.09,6.0,5.0,0.0,36.0,0.0,8.0,95.0,0.0
roti panggang choco banana,Snack,Roti 2 lembar; Coklat 10 g; Pisang 50 g,"Oles coklat, tambahkan pisang, panggang hingga matang",210.09,5.0,3.5,0.0,38.0,0.0,5.0,170.0,0.0
roti panggang coklat,Snack,Roti 2 lembar; Coklat 20 g,"Oles coklat, panggang hingga meleleh",210.09,5.0,4.0,0.0,39.0,0.0,7.0,180.0,0.0
roti panggang es teler,Snack,Roti 2 lembar; Kelapa 20 g; Susu 50 ml,"Oles topping es teler, panggang hingga matang",219.89,5.0,5.0,0.0,37.0,0.0,8.0,140.0,0.0
roti panggang gandum,Snack,Roti gandum 2 lembar,Panggang hingga matang,128.11,3.86,2.48,0.0,23.69,2.8,1.77,160.0,145.0
roti panggang gandum hitam,Snack,Roti gandum hitam 2 lembar,Panggang hingga matang,68.12,2.26,0.86,0.0,12.74,1.5,1.02,174.0,44.0
roti panggang isian rasa cokelat,Snack,Roti 2 lembar; Coklat 20 g,"Isi roti dengan coklat, panggang hingga matang",250.0,5.0,10.0,0.0,35.0,0.0,12.0,210.0,0.0
roti panggang isian rasa keju,Snack,Roti 2 lembar; Keju 20 g,"Isi roti dengan keju, panggang hingga matang",210.09,4.0,9.0,0.0,27.0,0.0,6.0,120.0,0.0
roti panggang isian rasa vanila,Snack,Roti 2 lembar; Krim vanila 20 g,"Isi roti dengan krim, panggang hingga matang",239.96,5.0,9.0,0.0,34.0,0.0,9.0,180.0,0.0
roti panggang keju,Snack,Roti 2 lembar; Keju 20 g,"Oles keju, panggang hingga matang",219.89,6.0,5.0,0.0,40.0,0.0,6.0,260.0,0.0
roti panggang mix fruit,Snack,Roti 2 lembar; Buah campur 30 g,"Oles buah campur, panggang hingga matang",210.09,4.0,4.0,0.0,39.0,0.0,11.0,135.0,0.0
roti panggang multigrain,Snack,Roti multigrain 2 lembar,Panggang hingga matang,65.25,2.62,0.98,0.0,12.1,1.6,2.62,127.0,53.0
roti panggang pandan sarikaya,Snack,Roti 2 lembar; Sarikaya 20 g,"Oles sarikaya, panggang hingga matang",190.01,2.0,10.0,0.0,21.0,0.0,10.0,150.0,0.0
roti panggang pandan srikaya,Snack,Roti 2 lembar; Srikaya 20 g,"Oles srikaya, panggang hingga matang",210.09,5.0,3.5,0.0,39.0,0.0,9.0,120.0,0.0
roti panggang perancis (beku),Snack,Roti beku 2 lembar,Panggang hingga matang,125.72,4.37,3.6,48.0,18.94,0.6,0.0,292.0,79.0
roti panggang perancis (dengan susu rendah lemak 2%),Snack,Roti 2 lembar; Susu rendah lemak 2% 50 ml,"Rendam susu, panggang hingga matang",148.9,5.0,7.02,75.0,16.25,0.0,0.0,311.0,87.0
roti panggang pita,Snack,Roti pita 2 lembar,Panggang hingga matang,78.63,2.6,0.34,0.0,15.91,0.6,0.37,153.0,34.0
roti panggang putih,Snack,Roti putih 2 lembar,Panggang hingga matang,64.53,1.98,0.88,0.0,11.97,0.6,1.04,130.0,29.0
roti panggang rasa buah blueberry,Snack,Roti 2 lembar; Selai blueberry 20 g,"Oles selai, panggang hingga matang",140.06,3.0,5.0,0.0,20.0,2.0,6.0,120.0,0.0
roti panggang rasa buah stroberi,Snack,Roti 2 lembar; Selai stroberi 20 g,"Oles selai, panggang hingga matang",239.96,4.0,10.0,0.0,34.0,2.0,10.0,115.0,0.0
roti panggang rasa cokelat,Snack,Roti 2 lembar; Coklat 20 g,"Oles coklat, panggang hingga matang",200.05,4.0,8.0,0.0,28.0,4.0,8.0,170.0,0.0
roti panggang rasa coklat,Snack,Roti 2 lembar; Coklat 20 g,"Oles coklat, panggang hingga matang",250.0,5.0,5.0,0.0,21.0,3.0,6.0,120.0,0.0
roti panggang rasa durian,Snack,Roti 2 lembar; Durian 50 g,"Oles durian, panggang hingga matang",229.92,5.0,8.0,0.0,35.0,0.0,10.0,190.0,0.0
roti panggang rasa kelapa pandan,Snack,Roti 2 lembar; Kelapa 20 g; Pandan 5 g,"Oles topping, panggang hingga matang",200.05,5.0,3.0,0.0,38.0,0.0,7.0,190.0,0.0
roti panggang rasa mangga,Snack,Roti 2 lembar; Mangga 50 g,"Oles mangga, panggang hingga matang",219.89,5.0,7.0,0.0,35.0,0.0,10.0,180.0,0.0
roti panggang rasa nanas,Snack,Roti 2 lembar; Nanas 50 g,"Oles nanas, panggang hingga matang",219.89,5.0,8.0,0.0,34.0,0.0,8.0,200.0,0.0
roti panggang rasa susu vanila,Snack,Roti 2 lembar; Susu vanila 50 ml,"Oles susu vanila, panggang hingga matang",239.96,3.0,6.0,3.0,20.0,2.0,5.0,95.0,0.0
roti panggang texas,Snack,Roti 2 lembar; Mentega 10 g,Panggang roti ala Texas hingga matang,85.8,2.02,3.32,0.0,11.86,0.7,0.11,158.0,28.0
roti panggang vanila susu,Snack,Roti 2 lembar; Vanila 5 g; Susu 50 ml,"Oles, panggang hingga matang",219.89,5.0,5.0,0.0,40.0,0.0,8.0,270.0,0.0
roti panggang vanilla susu,Snack,Roti 2 lembar; Vanila 5 g; Susu 50 ml,"Oles, panggang hingga matang",210.09,4.0,4.0,0.0,39.0,0.0,11.0,140.0,0.0
roti pisang dan keju,Snack,100 g pisang; 30 g keju quick leleh; 1 lembar roti tawar gandum,"Iris pisang dan parut keju, | Susun di atas roti, | Masak dalam penggorengan udara pada suhu 190°C selama 5 menit,",280.21,9.0,8.75,0.0,41.5,4.0,5.0,495.0,0.0
roti pisang havermut,Snack,50 g telur; 1 sejumput garam; 1/2 sdt ekstrak vanila; 120grampisang; 1/2 sdt baking soda; 1 sdm madu; 30 g havermut instan; 20 g cokelat hitam & granola almond,"Hancurkan pisang dan campur dengan telur, vanila, dan madu, | Tambahkan oatmeal, garam, dan soda kue, | Tuang ke dalam cetakan roti dan taburi dengan granola, | Panggang dalam oven dengan suhu 180°C selama 20 menit atau hingga adonan tidak lengket lagi, | Biarkan dingin sebelum membuka cetakan dan mengiris,",232.15,7.3,5.86,106.0,39.64,4.2,17.62,456.0,256.0
roti pisang oat,Snack,"2 besar telur; 2 besar pisang; 1 tsp baking powder (sodium aluminum sulfate, double acting); 6 sdm honey; 170 g quick cooking oatmeal; 54 g roasted almond; 100 g choco chips","Panaskan oven terlebih dahulu pada suhu 170°C, | Hancurkan pisang, campur dengan telur dan madu, | Giling oatmeal dan campur dengan baking powder, | Aduk bahan basah dan kering hingga rata, tambahkan coklat keping tapi sisakan sedikit untuk topping, | Tuang ke dalam loyang dan taburi dengan sisa choco chips dan almond, Panggang selama 40 menit atau sampai matang,",192.89,4.28,6.93,35.0,29.77,3.3,15.16,55.0,123.0
roti susu,Snack,Tepung 100 g; Susu 50 ml,Panggang roti susu hingga matang,119.98,4.0,2.0,0.0,21.0,0.0,2.0,600.0,0.0
roti tawar,Snack,1 besar telur; 3 1/2gramragi; 20grammargarin; 1 sejumput garam; 120 ml air; 20gramgula bubuk; 180gramtepung terigu putih (semua keperluan); 30 g susu bubuk full cream,"Campurkan semua bahan kecuali margarin dan garam, | Setelah bahan tercampur, masukan margarin dan aduk hingga semua bahan tercampur dan adonan menjadi kalis, | Istirahatkan adonan selama 1 jam, biarkan hingga adonan mengembang 2 kali lipat dari ukuran semula, | Panggan adonan menggunakan oven selama 30 menit dengan suhu 180°C, | Setelah roti matang, oleskan margarin pada roti selagi hangat, | Roti siap disajikan,",134.07,4.17,3.34,26.0,21.25,1.4,2.56,61.0,90.0
roti tawar tabur gula,Snack,Roti tawar 2 lembar; Gula 10 g,"Taburi gula di atas roti, sajikan",210.09,6.0,2.5,0.0,40.0,4.0,4.0,320.0,0.0
rujak,Snack,Buah 100 g; Bumbu rujak 10 g,"Campur buah dan bumbu, sajikan segar",121.18,5.99,6.15,35.0,12.04,3.1,5.42,139.0,216.0
rujak buah,Snack,Buah segar 100 g; Bumbu 10 g,"Campur buah dan bumbu, sajikan segar",212.95,8.53,15.1,2.0,14.96,3.1,8.72,69.0,305.0
rujak cingur,Meal,Cingur 50 g; Sayur 50 g; Bumbu 20 g,"Campur semua bahan, sajikan",249.04,13.68,12.71,69.0,22.53,5.8,9.81,327.0,440.0
rumput laut kering,Snack,Rumput laut 10 g,Keringkan dan sajikan,20.08,1.0,0.0,0.0,4.0,0.0,0.0,460.0,0.0
rumput laut kering panggang (nori) korean bbq,Snack,Rumput laut 10 g; Bumbu 5 g,Panggang rumput laut berbumbu hingga kering,25.1,1.0,2.0,0.0,2.0,1.0,0.0,95.0,0.0
rumput laut kering panggang (nori) pedas,Snack,Rumput laut 10 g; Cabai 2 g,Panggang rumput laut pedas hingga matang,25.1,1.0,1.5,0.0,2.0,1.0,0.0,130.0,0.0
rumput laut kering panggang (nori) rasa telur asin,Snack,Rumput laut 10 g; Bumbu telur asin 5 g,Panggang rumput laut hingga matang,25.1,1.0,2.0,0.0,1.0,1.0,0.0,90.0,0.0
rumput laut panggang,Snack,Rumput laut 10 g,Panggang hingga matang,15.06,1.0,1.5,0.0,1.0,0.0,0.0,25.0,0.0
rumput laut panggang (nori),Snack,Rumput laut 10 g,Panggang nori hingga kering,15.06,2.0,0.0,0.0,2.0,1.0,0.0,50.0,0.0
rumput laut panggang rasa jagung bakar,Snack,Rumput laut 10 g; Bumbu 5 g,Panggang hingga matang,25.1,1.0,2.0,0.0,1.0,1.0,0.0,65.0,0.0
rumput laut sapi panggang korea,Snack,Rumput laut 10 g; Bumbu sapi 5 g,Panggang rumput laut berbumbu hingga matang,25.1,1.0,2.0,0.0,1.0,1.0,0.0,65.0,0.0
salad,Meal,Selada; tomat; mentimun; wortel; dressing,Cuci dan potong semua sayuran; campur dalam mangkuk; tambahkan dressing; sajikan,80.0,2.0,4.0,0.0,10.0,2.0,5.0,180.0,280.0
salad ayam,Meal,"60gramchicken breast; 50gramboiled potato; 2 mangkok, parut atau cincang lettuce; 90gramcooked corn; 1/2 sendok makan light mayonnaise","Bumbui ayam dengan garam merica, panggang, | Kukus jagung, kentang, | Potong n cuci lettuce, | Campur smuanya, | Pakein mayo / salad dressing,",375.14,22.51,13.98,50.0,41.93,4.5,5.11,594.0,701.0
salad bayam,Meal,Bayam 50 g; Dressing 20 ml,"Campur bayam dan dressing, sajikan segar",107.31,5.11,4.82,77.0,11.2,1.4,1.28,227.0,232.0
"salad hijau ayam atau kalkun (ayam dan/atau kalkun, tomat dan/atau wortel, sayuran lainnya)",Meal,Ayam/Kalkun 50 g; Sayuran 50 g,"Campur bahan, sajikan segar",57.6,9.49,1.13,24.0,2.13,0.8,1.27,32.0,185.0
salad mentimun dengan coleslaw,Meal,100gramselada kol; 100gramjagung rebus; 100grammentimun (dengan kulit); 100gramkentang rebus; 35 g mayonnaise roasted sesame,"Cuci semua sayuran dengan air mengalir, | Potong sayuran sesuai keinginan, | Rebus air hingga mendidih lalu rebus jagung dan kentang, Biarkan agak dingin, | Campur semua sayuran dalam mangkuk dan tambahkan sisa bahan, | Pindahkan ke mangkuk dan sajikan,",85.0,10.39,18.06,16.0,88.56,10.1,8.68,222.0,1458.0
salad roll,Meal,1sedangrice paper; 20gramwortel; 20grammentimun (kupas); 50gramselada air; 20 g cheddar cheese; 50 g smoked beef,"Rendam rice paper ke dalam air hangat sebentar, | Setelah rice paper lemas & mudah dibentuk, masukkan bahan2, lalu lipat/gulung, | Makan!",183.09,15.18,7.64,20.0,14.96,1.2,3.0,1008.0,265.0
salad roll salmon,Meal,Salmon 50 g; Sayur 50 g; Kulit gulung 1 lembar,"Gulung salmon dan sayur di dalam kulit, sajikan",151.05,12.0,5.0,0.0,16.0,3.0,7.0,242.0,0.0
salad sayur,Meal,"20gramjeruk nipis; 1/4 mangkok, irisan paprika merah manis; 2 sdm kemangi; 1/2 mangkok, irisan mangga; 1/2 mangkok, dicincang kale; 10grambayam; 100grambengkoang; 25grambawang bombay","Potong dan iris semua bahan sesuai selera, | Tambahkan perasan jeruk nipis, | Tambahkan sedikit lada dan garam, | Aduk rata,",134.07,3.26,0.74,0.0,32.69,8.9,16.4,29.0,612.0
"salad sayur dengan ayam, tahu, dan tempe",Meal,"70gramdaging ayam (panggang, bakar, dimasak); 100gramkubis; 100gramselada daun hijau; 50gramtempe; 100gramtahu; 20 g saus salad pulau seribu","Potong-potong ayam, tahu, dan tempe, Masak dalam wajan antilengket sampai empuk, | Masukkan semua bahan ke dalam mangkuk, | Sajikan sampai segar,",44.32,4.27,2.25,6.36,2.18,0.45,0.89,30.91,116.82
salad sayuran hijau campur,Meal,50 g selada; 50 g bayam; 1 sdm dressing rendah lemak; sejumput garam,"Campur semua sayuran hijau, tambahkan dressing, aduk rata",9.32,0.84,0.13,0.0,1.76,1.1,0.48,16.0,160.0
salad selada dengan berbagai macam sayuran,Meal,50 g selada; 50 g wortel; 50 g mentimun; 1 sdm dressing; sejumput garam,"Campur semua sayuran dan dressing, aduk rata",10.99,0.55,0.11,0.0,2.32,0.8,1.33,15.0,120.0
salad selada nanas tomat cerry,Meal,1 iris jeruk nipis; 1/4 sdt bubuk cabai; 50gramnanas; 50gramselada daun hijau; 1 sdm minyak zaitun ekstra virgin; 4 tomat anggur; 20 ml saus siram wijen sangrai,"Cuci bersih selada, tomat, nanas, | Rendam dlm air garam selama 15-20 menit, | Bilas bahan tersebut dengan air bersih, potong2 sesuai selera, | Keringkan dengan pengering sayuran, | Campur rata smua bahan salad dressing (kewpie saus siram wijen sangrai+minyak zaitun+sari kurma+bawang putih bubuk+cabe bubuk (optional)+perasan air jeruk nipis, | Siram salad dressing ke salad yg telah disajikan, aduk2, siap utk disantap,",233.03,2.17,19.43,0.0,14.16,2.1,6.04,23.0,250.0
Salak,Snack,Tidak Tersedia,Tidak Tersedia,82.0,0.4,0.4,0.0,22.0,2.0,19.0,4.0,256.0
sale pisang,Snack,100 g pisang matang,Keringkan pisang dalam oven atau dijemur hingga kering,276.05,2.87,0.9,0.0,66.51,3.3,30.96,61.0,406.0
salmon asap,Meal,100 g salmon segar; sejumput garam; 1 sdt gula,Asapi salmon menggunakan smoker atau oven selama 2–3 jam,117.11,18.28,4.32,23.0,0.0,0.0,0.0,784.0,175.0
salmon ball,Snack,100gr salmon; 30gr tepung roti; 1 telur; daun bawang; sejumput garam; sejumput lada,"Haluskan salmon; campur dengan telur, daun bawang, garam, dan lada; bentuk bulat; balut tepung roti; goreng atau kukus hingga matang",95.0,8.0,5.0,35.0,4.0,0.3,0.5,100.0,180.0
salmon kentang wortel,Meal,100 g salmon; 100 g kentang; 50 g wortel; 1 sdm minyak,"Masak salmon, kentang, dan wortel dengan minyak hingga matang",99.9,3.0,1.5,0.0,19.0,1.0,1.0,70.0,250.0
salmon merah muda,Meal,100 g salmon; 1 sdt minyak,"Masak salmon dengan sedikit minyak hingga matang, jangan terlalu lama",115.92,19.94,3.45,52.0,0.0,0.0,0.0,67.0,323.0
salmon nugget,Snack,100 g salmon; 50 g tepung roti; 1 sdm minyak,"Bentuk salmon dan tepung roti menjadi nugget, goreng hingga matang",200.05,8.0,9.0,15.0,21.0,3.0,2.0,460.0,0.0
salmon sausage cheese,Snack,100 g salmon; 50 g keju; 50 g sosis; 1 sdm minyak,"Masak semua bahan hingga matang, bentuk seperti sosis atau panggang",99.9,8.0,3.0,0.0,12.0,0.0,0.0,190.0,0.0
salmon spread in mayonaise,Snack,100 g salmon rebus; 1 sdm mayones; sejumput garam,"Campur salmon dengan mayones, haluskan, sajikan sebagai olesan roti",70.03,4.0,5.0,10.0,3.0,0.0,2.0,150.0,0.0
salmon teriyaki,Meal,100 g salmon; 2 sdm saus teriyaki; 1 sdm kecap manis; sejumput garam,Marinasi salmon dengan saus teriyaki dan kecap; panggang atau masak di wajan hingga matang,175.0,22.0,7.0,65.0,8.0,0.0,5.0,55.0,420.0
sambal balado,Snack,50 g cabai; 20 g bawang merah; 1 sdm minyak,"Tumis bawang dan cabai, haluskan dengan ulekan atau blender, sajikan",90.11,1.0,3.5,0.0,13.0,0.0,2.0,125.0,0.0
sambal udang,Snack,50 g udang; 20 g cabai; 1 sdm minyak,"Tumis cabai, masukkan udang, masak hingga matang",136.95,4.78,2.47,38.0,24.59,0.5,16.58,73.0,124.0
sambal uleg udang,Snack,50 g udang rebus; 20 g cabai,"Ulek cabai, tambahkan udang, aduk rata",34.89,1.0,3.0,4.0,1.0,4.0,0.0,400,0.0
sandwich,Meal,1 daun sedang selada; 100gramtelur ceplok; 2 lembar roti tawar gandum; 1 sachet saus sambal; 1 slice keju slice,"Siap kan bahan, | Panggang roti di pan tanpa minyak hingga mencoklat rata, | Ceplok telur, tambahkan garam sejumput, kocok telur dan goreng, | Susun roti dengan bahan bahan yang sudah disiapkan,",467.09,20.7,23.82,457.0,38.12,6.1,4.97,755.0,158.0
sandwich daging sapi panggang,Meal,2 iris roti tawar; 100 g daging sapi panggang; 1 sdt mentega,"Panggang daging sapi, susun di antara roti dengan mentega",341.3,26.85,13.49,67.0,26.02,1.2,2.22,602.0,366.0
sandwich dengan daging sapi panggang dengan keju,Meal,2 iris roti tawar; 100 g daging sapi panggang; 50 g keju; 1 sdt mentega,Panggang sandwich berisi daging dan keju hingga matang,473.47,32.23,18.0,77.0,45.37,0.0,0.0,1633.0,345.0
sandwich keju panggang,Meal,2 iris roti tawar; 50 g keju; 1 sdt mentega,Panggang roti dengan keju dan mentega hingga keju meleleh,290.39,9.16,15.77,22.0,27.85,1.2,3.98,764.0,129.0
sandwich telur dadar,Meal,1 daun sedang selada; 1 besar telur dadar; 1utuh sedangtomat merah; 1 lembar roti tawar gandum,"Panggang roti dalam wajan antilengket selama satu menit di setiap sisi, | Atur telur dadar dan sayuran di dalam roti, | Iris dan sajikan,",305.81,13.63,11.59,217.0,36.48,7.6,5.77,435.0,373.0
sapi iris mercon,Meal,100 g daging sapi; 20 g cabai; 1 sdm minyak; bawang putih; kecap manis; sejumput garam,"Tumis bawang putih; masukkan daging; tambahkan cabai, kecap, dan garam; masak hingga matang",220.0,28.0,10.0,75.0,3.0,0.5,1.0,367.0,320.0
